rank,fitness_,ctk_string
1,2765.189109290875,C[r(B2H2H4H2)f(H6B6[t(B6H4)])]
2,2695.445822564223,C[r(B2[r(B2)]H6)f(H2H)]<t(B2[l(B[t(B2H6)r(B4B4[l(B2)]H6)]H2H6BH2)]H4)>
3,2693.6290456202396,C[r(B4[r(B2[r(B[t(B2[t(B)]H6H6)]H)]B6HH2)]H6)]
4,2690.8114209432138,C[r(B6[t(B4)])]<t(B2[t(B[l(B6B6H6)t(B6[b(B6[t(B)r(B[t(B)]H2)])])]B4[l(B2)])])>
5,2681.7881049924868,C[l(B4B6[t(B2H2)r(BH6H4H4H6H2)]H2H2)f(H4)]
6,2679.1398222288767,C[l(B4[b(B4B2H4H4H4H6HH6H6H6H6)]H2)f(H2)]
7,2676.449306720825,C[l(B2[r(B2)b(B6)l(B6[t(B4[r(B4)l(B6H)]B6)]BH6)])]
8,2672.558814313255,C[r(BB6[b(B2[l(B[r(B6)]H4)]H4H4)]H6H2H6H)]
9,2667.040915874075,C[r(B2H2)f(H2H6H6B4B[r(B4H2)])]
10,2660.426055325619,C[f(HB6[b(B4[l(B)b(B6B)])])]<t(B[r(B6H2H2H6H2)]H6)>
11,2660.4174044901574,C[f(H6B2[l(B)r(B2[t(B2[b(B[b(B6)]H4HH2H2)])])]H6HH2H)]
12,2658.34391316606,C[r(B2H6HH4H4)l(B[t(B6)l(B[b(B4H4)]H4)]H2)f(H6H2)]<t(B[t(B)])>
13,2656.0161835262284,C[r(B4)f(B6H2H2H2HH4H2)l(B[b(BH2)]H)]
14,2654.319399749817,C[f(B6[l(B2HH6H4H4)]BH4HH2)]
15,2652.5938389110383,C[f(B[t(B6H4H4H4H4)]H4H4)]<t(B2[b(B2H6H6)t(B6H2)]H)>
16,2646.2058124129903,C[r(B[b(B4B[b(B6[t(B4[t(BB6)])]H)])])f(H)]
17,2645.7447185548717,C[f(B2[b(B4[l(B2H)t(B4[b(B2H2)r(B2[l(B6)])])]H2)]B2)]
18,2637.244283775446,C[f(H4)]<t(B2[l(B2[b(B6)l(B6H)]HH)r(B6H4H)]H)>
19,2635.873573406997,C[f(H4H4H4)]<t(B[b(B[r(B6[l(B6H6H2)])]H2HH4)])>
20,2635.5202888721387,C[r(B4[b(B4H2H6)]H6B2[r(B4B6[b(BB6H2H6)]H2)])f(H4H4H)]
21,2635.0389151969816,C[l(B[t(B2H4)]H4)]<t(B[r(B4)t(B[l(B4H)]H2)]B4[b(B4[b(B4)])])>
22,2633.7870874899527,C[r(B[b(B2[t(B2[r(BB4H4)]HHH)r(B[b(B[r(B2)])])])])f(H6)]
23,2633.447618802259,C[f(B[l(B2[t(B6[r(BH2H)]HH4H6)]B2B6H)])]
24,2630.92167113891,C<t(B[r(B[t(B2[b(B4B[l(B4[l(B2)]HH4H4)]H6H2)])]B2[b(B6)])])>
25,2625.1683798036775,C[r(B[b(B2B2[r(B2H4H4H)])]H4H2H2)f(H2H4H2)]
26,2622.577112848055,C[l(B[b(B4[b(B)t(B4[r(B4H)])]H6)]H4)f(H4)]
27,2621.2162816596706,C[r(B6B[t(B2)]B6B2B[t(BH4)])f(H4H6H6H2)]<t(BH2)>
28,2620.998152243784,C[f(B6[t(B[l(B6[l(B)b(B6H2H6)]H6)t(B[l(B4)r(BH2)])]H)]B)]
29,2620.817111923977,C[r(B[t(B4[t(B2[r(B4H2H)]H6H6)])]H4)]<t(BH6B6)>
30,2620.7536950609456,C[f(H2H2)]<t(B2[r(B2B[t(B6B6)r(BH4H4H2)]H4)])>
31,2619.0901421834074,C[f(B2[b(B2)]H6)]<t(B2[r(B[t(B2)]H4H6HH4)]H6H)>
